P1_DEPARTAMENTO,conteo,porcentaje
5,3826,4.495570230066035
25,3470,4.077268347707565
15,3131,3.678941555236999
76,3128,3.675416539374427
68,3034,3.5649660423471903
19,2974,3.4944657250957625
73,2948,3.463915587620144
13,2948,3.463915587620144
52,2863,3.3640401381806218
50,2839,3.335840011280051
11,2783,3.2700397151787186
63,2770,3.2547646464409086
66,2770,3.2547646464409086
44,2731,3.208939440227481
41,2707,3.18073931332691
86,2705,3.178389302751863
18,2649,3.1125890066505297
8,2638,3.0996639484877684
23,2581,3.032688647098912
70,2568,3.0174135783611025
81,2524,2.9657133457100557
20,2502,2.9398632293845326
17,2468,2.899913049608723
54,2452,2.8811129650083425
27,2438,2.864662890983009
99,2309,2.71308720889244
95,2304,2.707212182454821
85,2267,2.6637369868164407
47,2097,2.463986087937396
94,1725,2.0268841209785444
91,1493,1.7542828942730242
97,1444,1.6967076351843584
88,1020,1.1985053932742697
