P1_DEPARTAMENTO,No,Si
5,45.269210663878724,54.730789336121276
8,51.74374526156179,48.25625473843821
11,30.11139058569889,69.88860941430111
13,64.31478968792402,35.68521031207598
15,48.09964867454487,51.90035132545513
17,37.11507293354943,62.88492706645057
18,46.47036617591544,53.529633824084556
19,51.88298587760591,48.11701412239408
20,36.490807354116704,63.509192645883296
23,58.930647036032546,41.069352963967454
25,44.03458213256484,55.965417867435164
27,80.51681706316654,19.483182936833472
41,41.1895086811969,58.8104913188031
44,57.45148297326986,42.54851702673014
47,57.46304244158321,42.53695755841679
50,45.26241634378302,54.737583656216984
52,55.29165211316801,44.708347886831994
54,38.09135399673736,61.908646003262646
63,35.848375451263536,64.15162454873646
66,36.8231046931408,63.1768953068592
68,44.19907712590639,55.80092287409361
70,57.08722741433022,42.912772585669785
73,43.86024423337856,56.139755766621434
76,28.03708439897698,71.96291560102301
81,49.88114104595879,50.1188589540412
85,46.58138509042788,53.41861490957213
86,47.874306839186694,52.12569316081331
88,60.49019607843137,39.509803921568626
91,62.357669122572,37.642330877428
94,69.33333333333334,30.666666666666664
95,53.255208333333336,46.74479166666667
97,54.016620498614955,45.98337950138504
99,99.56691208315289,0.43308791684712
All,49.69449862524382,50.30550137475619
