P1_DEPARTAMENTO,No,Si
5,21.56299006795609,78.4370099320439
8,21.228203184230477,78.77179681576952
11,6.252245777937477,93.74775422206253
13,36.431478968792405,63.5685210312076
15,42.03129990418397,57.968700095816025
17,21.353322528363048,78.64667747163695
18,41.82710456776142,58.17289543223858
19,49.226630800269,50.773369199731
20,36.25099920063949,63.74900079936051
23,41.882991088725305,58.1170089112747
25,26.426512968299708,73.5734870317003
27,43.80639868744873,56.193601312551266
41,37.273734761728846,62.726265238271154
44,51.409740021969974,48.590259978030026
47,41.15402956604674,58.84597043395326
50,31.877421627333568,68.12257837266642
52,40.58679706601467,59.41320293398533
54,31.199021207177815,68.80097879282219
63,16.57039711191336,83.42960288808663
66,24.548736462093864,75.45126353790613
68,37.73895847066579,62.261041529334214
70,46.612149532710276,53.387850467289724
73,39.99321573948439,60.0067842605156
76,14.897698209718671,85.10230179028133
81,35.38034865293185,64.61965134706814
85,36.479929422143805,63.5200705778562
86,38.11460258780037,61.88539741219963
88,0.49019607843137253,99.50980392156863
91,39.1158740790355,60.88412592096451
94,60.86956521739131,39.130434782608695
95,40.45138888888889,59.548611111111114
97,48.961218836565095,51.0387811634349
99,52.317020355132094,47.682979644867906
All,34.65325593965173,65.34674406034827
